cell,predict_cell
PAT9(NDBE)_BL018,PAT9(NDBE)_J_305
PAT9(NDBE)_BL020,PAT16(NDBE)_B_128
PAT9(NDBE)_BL023,PAT19(LGD)_B_356
PAT9(NDBE)_BL028,PAT20(CARD)_F_323
PAT9(NDBE)_BL030,PAT20(HGD1)_D_129
PAT9(NDBE)_BL033,PAT20(ESO)_E_172
PAT9(NDBE)_BL034,PAT20(CARD)_F_340
PAT9(NDBE)_BL035,PAT6(LGD)_H_377
PAT9(NDBE)_BL042,PAT16(NDBE)_B_222
PAT9(NDBE)_BL043,PAT16(NDBE)_B_189
PAT9(NDBE)_BL051,PAT14(NDBE)_D_379
PAT9(NDBE)_BL052,PAT9(NDBE)_J_227
PAT9(NDBE)_BL054,PAT20(CARD)_F_89
PAT9(NDBE)_BL057,PAT9(NDBE)_J_375
PAT9(NDBE)_BL058,PAT20(ESO)_E_219
PAT9(NDBE)_BL061,PAT20(HGD1)_D_329
PAT9(NDBE)_BL063,PAT9(NDBE)_J_289
PAT9(NDBE)_BL065,PAT20(CARD)_F_149
PAT9(NDBE)_BL066,PAT20(CARD)_F_222
PAT9(NDBE)_BL068,PAT16(EAC)_A_25
PAT9(NDBE)_BL070,PAT16(EAC)_A_283
PAT9(NDBE)_BL071,PAT14(NDBE)_D_194
PAT9(NDBE)_BL072,PAT20(HGD1)_D_337
PAT9(NDBE)_BL077,PAT14(HGD)_C_322
PAT9(NDBE)_BL078,PAT14(HGD)_C_125
PAT9(NDBE)_BL081,PAT20(CARD)_F_227
PAT9(NDBE)_BL083,PAT6(LGD)_H_102
PAT9(NDBE)_BL085,PAT20(HGD1)_D_294
PAT9(NDBE)_BL087,PAT19(LGD)_B_62
PAT9(NDBE)_BL088,PAT20(CARD)_F_331
PAT9(NDBE)_BL090,PAT16(NDBE)_B_63
PAT9(NDBE)_BL099,PAT20(ESO)_E_306
PAT9(NDBE)_BL101,PAT16(EAC)_A_233
PAT9(NDBE)_BL103,PAT14(NDBE)_D_225
PAT9(NDBE)_BL107,PAT6(HGD)_I_164
PAT9(NDBE)_BL108,PAT20(CARD)_F_369
PAT9(NDBE)_BL114,PAT16(EAC)_A_286
