cell,predict_cell,step
PAT20(CARD)_AH359,PAT16(NDBE)_B_134,1
PAT20(CARD)_AH360,PAT19(LGD)_B_269,1
PAT20(CARD)_AH361,PAT6(HGD)_I_92,1
PAT20(CARD)_AH364,PAT20(CARD)_F_330,1
PAT20(CARD)_AH365,PAT16(EAC)_A_258,1
PAT20(CARD)_AH367,PAT20(ESO)_E_88,1
PAT20(CARD)_AH368,PAT6(HGD)_I_285,1
PAT20(CARD)_AH369,PAT19(LGD)_B_85,1
PAT20(CARD)_AH370,PAT6(HGD)_I_339,1
PAT20(CARD)_AH371,PAT6(HGD)_I_163,1
PAT20(CARD)_AH372,PAT20(CARD)_F_196,1
PAT20(CARD)_AH373,PAT9(NDBE)_J_313,1
PAT20(CARD)_AH374,PAT6(LGD)_H_236,1
PAT20(CARD)_AH375,PAT19(LGD)_B_146,1
PAT20(CARD)_AH376,PAT19(LGD)_B_165,1
PAT20(CARD)_AH383,PAT20(ESO)_E_354,1
PAT20(ESO)_AD001,PAT9(NDBE)_J_213,1
PAT20(ESO)_AD003,PAT9(NDBE)_J_368,1
PAT20(ESO)_AD006,PAT9(NDBE)_J_93,1
PAT20(ESO)_AD007,PAT20(ESO)_E_17,1
PAT20(ESO)_AD008,PAT9(NDBE)_J_308,1
PAT20(ESO)_AD010,PAT16(NDBE)_B_227,1
PAT20(ESO)_AD011,PAT9(NDBE)_J_328,1
PAT20(ESO)_AD012,PAT20(ESO)_E_268,1
PAT20(ESO)_AD014,PAT14(NDBE)_D_323,1
PAT20(ESO)_AD015,PAT20(ESO)_E_276,1
PAT20(ESO)_AD017,PAT20(CARD)_F_130,1
PAT20(ESO)_AD019,PAT20(ESO)_E_148,1
PAT20(ESO)_AD020,PAT9(NDBE)_J_76,1
PAT20(ESO)_AD021,PAT6(LGD)_H_89,1
PAT20(ESO)_AD023,PAT19(LGD)_B_207,1
PAT20(ESO)_AD025,PAT20(ESO)_E_313,1
PAT20(ESO)_AD026,PAT9(NDBE)_J_89,1
PAT20(ESO)_AD027,PAT9(NDBE)_J_296,1
PAT20(ESO)_AD028,PAT20(ESO)_E_373,1
PAT20(ESO)_AD031,PAT20(CARD)_F_126,1
PAT20(ESO)_AD032,PAT9(NDBE)_J_374,1
PAT20(ESO)_AD035,PAT20(CARD)_F_13,1
PAT20(ESO)_AD039,PAT20(CARD)_F_158,1
PAT20(ESO)_AD041,PAT20(ESO)_E_170,1
PAT20(ESO)_AD042,PAT9(NDBE)_J_3,1
PAT20(ESO)_AD043,PAT20(ESO)_E_156,1
PAT20(ESO)_AD044,PAT19(LGD)_B_270,1
PAT20(ESO)_AD048,PAT14(HGD)_C_173,1
PAT20(ESO)_AD050,PAT20(ESO)_E_58,1
PAT20(ESO)_AD053,PAT20(CARD)_F_348,1
PAT20(ESO)_AD059,PAT20(ESO)_E_160,1
PAT20(ESO)_AD065,PAT20(ESO)_E_318,1
PAT20(ESO)_AD071,PAT9(NDBE)_J_361,1
PAT20(ESO)_AD072,PAT16(EAC)_A_285,1
PAT20(ESO)_AD073,PAT9(NDBE)_J_235,1
PAT20(ESO)_AD074,PAT20(ESO)_E_287,1
PAT20(ESO)_AD078,PAT14(NDBE)_D_160,1
PAT20(ESO)_AD081,PAT20(ESO)_E_130,1
PAT20(ESO)_AD082,PAT20(CARD)_F_135,1
PAT20(ESO)_AD091,PAT20(ESO)_E_325,1
PAT20(ESO)_AD092,PAT9(NDBE)_J_128,1
PAT20(ESO)_AD094,PAT20(CARD)_F_35,1
PAT20(ESO)_AD096,PAT9(NDBE)_J_222,1
PAT20(ESO)_AD102,PAT20(CARD)_F_358,1
PAT20(ESO)_AD106,PAT20(CARD)_F_345,1
PAT20(ESO)_AD112,PAT9(NDBE)_J_69,1
PAT20(ESO)_AD115,PAT20(ESO)_E_107,1
PAT20(ESO)_AD117,PAT19(LGD)_B_328,1
PAT20(ESO)_AD120,PAT16(EAC)_A_208,1
PAT20(ESO)_AD121,PAT6(HGD)_I_118,1
PAT20(ESO)_AD122,PAT14(NDBE)_D_340,1
PAT20(ESO)_AD123,PAT19(LGD)_B_54,1
PAT20(ESO)_AD133,PAT19(LGD)_B_46,1
PAT20(ESO)_AD134,PAT6(HGD)_I_330,1
PAT20(ESO)_AD135,PAT14(NDBE)_D_104,1
PAT20(ESO)_AD136,PAT6(HGD)_I_131,1
PAT20(ESO)_AD137,PAT19(LGD)_B_330,1
PAT20(ESO)_AD141,PAT14(HGD)_C_340,1
PAT20(ESO)_AD151,PAT19(LGD)_B_0,1
PAT20(ESO)_AD154,PAT20(CARD)_F_179,1
PAT20(ESO)_AD156,PAT14(NDBE)_D_221,1
PAT20(ESO)_AD159,PAT20(ESO)_E_339,1
PAT20(ESO)_AD161,PAT9(NDBE)_J_158,1
PAT20(ESO)_AD162,PAT20(CARD)_F_82,1
PAT20(ESO)_AD163,PAT19(LGD)_B_294,1
PAT20(ESO)_AD165,PAT9(NDBE)_J_177,1
PAT20(ESO)_AD166,PAT20(CARD)_F_249,1
PAT20(ESO)_AD168,PAT20(ESO)_E_208,1
PAT20(ESO)_AD169,PAT9(NDBE)_J_32,1
PAT20(ESO)_AD175,PAT6(HGD)_I_70,1
PAT20(ESO)_AD176,PAT16(NDBE)_B_196,1
PAT20(ESO)_AD177,PAT20(ESO)_E_231,1
PAT20(ESO)_AD178,PAT20(ESO)_E_319,1
PAT20(ESO)_AD184,PAT20(CARD)_F_10,1
PAT20(ESO)_AD189,PAT20(CARD)_F_268,1
PAT20(ESO)_AD190,PAT20(ESO)_E_97,1
PAT20(ESO)_AD191,PAT19(LGD)_B_137,1
PAT20(ESO)_AD193,PAT20(ESO)_E_84,1
PAT20(ESO)_AD195,PAT20(ESO)_E_285,1
PAT20(ESO)_AD197,PAT20(ESO)_E_136,1
PAT20(ESO)_AD201,PAT20(HGD1)_D_336,1
PAT20(ESO)_AD204,PAT19(LGD)_B_345,1
PAT20(ESO)_AD206,PAT19(LGD)_B_152,1
PAT20(ESO)_AD210,PAT20(CARD)_F_347,1
PAT20(ESO)_AD216,PAT20(CARD)_F_245,1
PAT20(ESO)_AD217,PAT20(CARD)_F_106,1
PAT20(ESO)_AD219,PAT9(NDBE)_J_74,1
PAT20(ESO)_AD220,PAT20(CARD)_F_201,1
PAT20(ESO)_AD222,PAT16(NDBE)_B_119,1
PAT20(ESO)_AD223,PAT20(CARD)_F_186,1
PAT20(ESO)_AD224,PAT19(LGD)_B_156,1
PAT20(ESO)_AD225,PAT20(CARD)_F_278,1
PAT20(ESO)_AD226,PAT6(HGD)_I_80,1
PAT20(ESO)_AD227,PAT19(LGD)_B_225,1
PAT20(ESO)_AD232,PAT6(LGD)_H_29,1
PAT20(ESO)_AD233,PAT20(ESO)_E_137,1
PAT20(ESO)_AD236,PAT20(ESO)_E_161,1
PAT20(ESO)_AD237,PAT9(NDBE)_J_358,1
PAT20(ESO)_AD238,PAT20(ESO)_E_216,1
PAT20(ESO)_AD242,PAT9(NDBE)_J_198,1
PAT20(ESO)_AD243,PAT6(LGD)_H_294,1
PAT20(ESO)_AD244,PAT6(LGD)_H_218,1
PAT20(ESO)_AD245,PAT20(HGD1)_D_91,1
PAT20(ESO)_AD249,PAT6(LGD)_H_316,1
PAT20(ESO)_AD254,PAT20(CARD)_F_177,1
PAT20(ESO)_AD255,PAT19(LGD)_B_50,1
PAT20(ESO)_AD256,PAT6(HGD)_I_204,1
PAT20(ESO)_AD257,PAT19(LGD)_B_11,1
PAT20(ESO)_AD258,PAT19(LGD)_B_320,1
PAT20(ESO)_AD262,PAT20(ESO)_E_298,1
PAT20(ESO)_AD263,PAT19(LGD)_B_32,1
PAT20(ESO)_AD265,PAT20(CARD)_F_111,1
PAT20(ESO)_AD266,PAT9(NDBE)_J_360,1
PAT20(ESO)_AD267,PAT20(ESO)_E_222,1
PAT20(ESO)_AD268,PAT20(ESO)_E_193,1
PAT20(ESO)_AD272,PAT19(LGD)_B_244,1
PAT20(ESO)_AD273,PAT9(NDBE)_J_64,1
PAT20(ESO)_AD274,PAT20(ESO)_E_62,1
PAT20(ESO)_AD275,PAT9(NDBE)_J_331,1
PAT20(ESO)_AD276,PAT20(ESO)_E_41,1
