,clone0,clone1,clone2,clone3
ENSG00000130234,2.4857142857142858,2.7804878048780486,2.0,1.75
ENSG00000106144,1.0285714285714285,1.951219512195122,2.0,1.0
ENSG00000143549,1.9428571428571428,2.0,2.0,1.0
ENSG00000164124,1.457142857142857,1.975609756097561,2.0,1.0
ENSG00000125944,1.6857142857142857,1.3902439024390243,2.0,1.0
ENSG00000186790,1.6571428571428573,2.0,2.0,1.25
ENSG00000144550,1.6571428571428573,2.0,2.0,2.0
ENSG00000136099,2.6285714285714286,2.024390243902439,2.0,2.5
ENSG00000140988,2.0,2.0,2.0,3.0
ENSG00000169129,1.9714285714285715,2.926829268292683,2.0,2.5
ENSG00000253710,2.6285714285714286,2.024390243902439,2.0,2.5
ENSG00000126062,1.7428571428571429,2.0,2.0,2.0
ENSG00000273841,2.085714285714286,1.975609756097561,2.0,2.0
ENSG00000142186,2.0,2.902439024390244,2.0,1.5
ENSG00000090554,2.0,2.0,2.0,1.25
ENSG00000139629,1.2285714285714286,1.975609756097561,2.0,2.0
ENSG00000135763,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000116014,1.9714285714285715,2.0,2.0,2.0
ENSG00000185338,2.0,2.0,2.0,3.0
ENSG00000196428,1.6285714285714286,2.0,2.0,2.0
ENSG00000118557,1.3714285714285714,2.024390243902439,2.0,2.0
ENSG00000077713,2.085714285714286,2.707317073170732,2.0,1.75
ENSG00000223865,2.0,1.951219512195122,2.0,1.75
ENSG00000002016,1.1714285714285715,1.9268292682926829,2.0,2.0
ENSG00000100596,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000113916,1.6285714285714286,2.731707317073171,2.0,2.0
ENSG00000176340,2.0,2.8536585365853657,2.0,1.5
ENSG00000008405,1.2857142857142858,1.975609756097561,2.0,1.75
ENSG00000170631,4.6571428571428575,5.024390243902439,2.0,4.75
ENSG00000227855,3.914285714285714,3.0,2.0,4.0
ENSG00000115844,2.2285714285714286,2.0,2.0,3.25
ENSG00000224973,1.4285714285714286,2.0,2.0,2.0
ENSG00000206885,1.4857142857142858,2.0,2.0,1.0
ENSG00000117697,1.9428571428571428,1.951219512195122,2.0,1.0
ENSG00000171223,1.9714285714285715,2.0,2.0,2.0
ENSG00000132561,4.371428571428571,5.073170731707317,2.0,4.75
ENSG00000101276,1.0,2.0,2.0,1.0
ENSG00000166140,1.1714285714285715,2.0,2.0,1.25
ENSG00000010327,1.7428571428571429,2.0,2.0,2.0
ENSG00000137959,1.5142857142857142,1.975609756097561,2.0,1.0
ENSG00000184634,2.2857142857142856,2.731707317073171,2.0,1.75
ENSG00000114904,1.7428571428571429,2.0,2.0,2.0
ENSG00000137656,3.5142857142857142,2.1219512195121952,2.0,3.25
ENSG00000072571,2.0285714285714285,1.6829268292682926,2.0,2.5
ENSG00000147050,2.4285714285714284,2.7804878048780486,2.0,1.75
ENSG00000143753,1.9428571428571428,1.975609756097561,2.0,1.0
ENSG00000113558,2.085714285714286,2.0,2.0,2.5
ENSG00000182054,1.1428571428571428,2.0,2.0,1.25
ENSG00000188227,2.0,2.0,2.0,2.0
ENSG00000155660,1.0,1.9024390243902438,2.0,1.0
ENSG00000226031,2.085714285714286,2.658536585365854,2.0,1.75
ENSG00000277161,2.0,2.0,2.0,2.25
ENSG00000080802,1.0857142857142856,2.8048780487804876,2.0,2.0
ENSG00000026297,1.9714285714285715,1.951219512195122,2.0,2.0
ENSG00000166340,2.057142857142857,2.8292682926829267,2.0,1.5
ENSG00000132321,1.5142857142857142,2.0,2.0,1.0
ENSG00000173145,1.0285714285714285,1.170731707317073,2.0,1.0
ENSG00000197084,1.9428571428571428,2.0,2.0,1.0
ENSG00000157426,1.3142857142857143,2.0,2.0,1.0
ENSG00000163931,1.7428571428571429,2.0,2.0,2.0
ENSG00000171453,2.0,1.951219512195122,2.0,1.75
ENSG00000005007,2.0,2.0,2.0,2.0
ENSG00000154856,1.0857142857142856,1.0,2.0,1.0
ENSG00000134460,1.0571428571428572,1.975609756097561,2.0,2.0
ENSG00000127184,2.057142857142857,1.951219512195122,2.0,2.0
ENSG00000142751,1.6857142857142857,1.146341463414634,2.0,1.0
ENSG00000186907,2.0,2.8292682926829267,2.0,1.5
ENSG00000107021,1.2285714285714286,1.975609756097561,2.0,1.0
ENSG00000111605,1.1714285714285715,1.975609756097561,2.0,1.75
ENSG00000152620,2.0285714285714285,2.0,2.0,2.0
ENSG00000125447,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000168710,1.6285714285714286,2.024390243902439,2.0,1.25
ENSG00000136270,3.857142857142857,2.8780487804878048,2.0,4.0
ENSG00000288649,5.0285714285714285,3.8048780487804876,2.0,5.5
ENSG00000015475,1.457142857142857,2.0,2.0,2.0
ENSG00000076248,1.3428571428571427,1.975609756097561,2.0,1.75
ENSG00000141965,1.9714285714285715,2.0,2.0,2.0
ENSG00000179455,1.2571428571428571,1.9024390243902438,2.0,1.25
ENSG00000223802,2.0,2.0,2.0,2.0
ENSG00000141570,2.0285714285714285,2.024390243902439,2.0,2.25
ENSG00000062524,1.1714285714285715,2.0,2.0,1.25
ENSG00000121769,1.6857142857142857,1.024390243902439,2.0,1.0
ENSG00000240280,2.0,2.048780487804878,2.0,2.0
ENSG00000090971,2.0,1.975609756097561,2.0,1.25
ENSG00000177830,2.2,2.8292682926829267,2.0,1.5
ENSG00000189091,1.3714285714285714,2.073170731707317,2.0,2.0
ENSG00000198911,1.457142857142857,2.0,2.0,2.0
ENSG00000125434,1.0,1.975609756097561,2.0,1.0
ENSG00000187187,2.0,2.0,2.0,2.0
ENSG00000173621,3.8857142857142857,3.6341463414634148,2.0,3.5
ENSG00000138660,1.1714285714285715,2.0,2.0,1.0
ENSG00000125657,1.9714285714285715,2.0,2.0,2.0
ENSG00000100603,1.9428571428571428,2.024390243902439,2.0,2.0
ENSG00000164733,0.7142857142857143,1.0,2.0,0.25
ENSG00000172336,1.1714285714285715,2.8536585365853657,2.0,2.0
